Time,CG 1 Volt,CG 2 Volt,CG 3 Volt,CG 4 Volt,CG 5 Volt,CG 6 Volt,CG 7 Volt,CG 8 Volt,CG 9 Volt,CG 10 Volt,CG 11 Volt,CG 12 Volt,CG 13 Volt,CG 14 Volt,CG 15 Volt,CG 16 Volt
1410.4,3.4675,3.4737,3.4763,3.4725,3.4788,3.4737,3.4788,3.4763,3.485,3.485,3.485,3.485,3.4813,3.4813,3.4813,3.4825
1410.6,3.4675,3.4737,3.4775,3.4737,3.4788,3.4737,3.4775,3.4763,3.4875,3.4825,3.4875,3.4863,3.48,3.4813,3.48,3.4825
1410.8,3.4688,3.475,3.4775,3.4725,3.4788,3.4725,3.4788,3.4763,3.4875,3.485,3.4863,3.4863,3.48,3.4813,3.4788,3.4813
1411,3.4675,3.4737,3.4775,3.4725,3.4788,3.4737,3.4788,3.4775,3.4875,3.4825,3.4875,3.485,3.4788,3.4813,3.48,3.4825
1411.2,3.4688,3.4725,3.4775,3.4725,3.4788,3.475,3.48,3.475,3.485,3.485,3.485,3.485,3.4825,3.4813,3.48,3.4825
1411.4,3.4663,3.4725,3.4775,3.4725,3.4788,3.475,3.4775,3.4775,3.4863,3.4825,3.4875,3.485,3.48,3.4813,3.4813,3.4825
1411.6,3.4663,3.475,3.4775,3.4725,3.4788,3.4737,3.48,3.4775,3.4863,3.4813,3.4875,3.485,3.48,3.4813,3.48,3.4825
1411.8,3.4663,3.4725,3.4775,3.4725,3.4788,3.4737,3.4788,3.4763,3.4888,3.4825,3.4875,3.485,3.48,3.48,3.4788,3.4813
1412,3.4675,3.4737,3.4763,3.4725,3.48,3.4737,3.48,3.4763,3.4888,3.4838,3.485,3.4863,3.48,3.48,3.48,3.4813
1412.2,3.4675,3.4737,3.4775,3.4725,3.4788,3.4737,3.4775,3.4763,3.4863,3.4825,3.4875,3.4838,3.48,3.4813,3.4788,3.4825
1412.4,3.4675,3.4725,3.4775,3.4725,3.4788,3.475,3.4775,3.475,3.4863,3.485,3.4838,3.4863,3.4813,3.48,3.4788,3.4825
1412.6,3.4675,3.4737,3.4775,3.4712,3.4788,3.4737,3.4788,3.4763,3.4863,3.4825,3.4863,3.485,3.4788,3.4813,3.48,3.4813
1412.8,3.4688,3.4737,3.4775,3.4725,3.4775,3.4737,3.4788,3.475,3.485,3.4838,3.4863,3.485,3.48,3.48,3.4788,3.4825
1413,3.4663,3.4737,3.4775,3.4725,3.4788,3.4737,3.48,3.4775,3.4875,3.4838,3.4863,3.485,3.48,3.48,3.48,3.4813
1413.2,3.4675,3.4725,3.4775,3.4725,3.4775,3.475,3.4775,3.4763,3.485,3.485,3.4863,3.4838,3.48,3.48,3.48,3.4825
1413.4,3.4688,3.4725,3.4763,3.4737,3.4788,3.4737,3.4788,3.475,3.4863,3.485,3.4838,3.485,3.48,3.4813,3.48,3.4825
1413.6,3.4675,3.4725,3.4775,3.4725,3.4788,3.4737,3.4788,3.4775,3.485,3.4838,3.485,3.4838,3.4813,3.4813,3.48,3.4813
1413.8,3.4675,3.4725,3.4763,3.4725,3.48,3.4737,3.4775,3.475,3.4875,3.4825,3.4863,3.4863,3.48,3.48,3.48,3.4825
